Name,Club,CupYear
Santillana,Real Madrid,1982
Quini,FC Barcelona,1982
Alan Rough,Partick Thistle FC ,1982
George Wood,FC Arsenal,1982
Jim Leighton,Aberdeen FC,1982
Allan Evans,Aston Villa,1982
Alan Hansen,FC Liverpool,1982
Willie Miller,Aberdeen FC,1982
Alex McLeish,Aberdeen FC,1982
David Narey,Dundee United FC,1982
Frank Gray,Leeds United,1982
Danny McGrain,Celtic Glasgow,1982
George Burley,Ipswich Town,1982
Graeme Souness,FC Liverpool,1982
Asa Hartford,Manchester City,1982
Gordon Strachan,Aberdeen FC,1982
John Wark,Ipswich Town,1982
John Robertson,Nottingham Forest,1982
David Provan,Celtic Glasgow,1982
Kenny Dalglish,FC Liverpool,1982
Alan Brazil,Ipswich Town,1982
Joe Jordan,AC Mailand,1982
Steve Archibald,Tottenham Hotspur,1982
Paul Sturrock,Dundee United FC,1982
Ivano Bordon,Inter Mailand,1978
Dino Zoff,Juventus Turin,1978
Paolo Conti,AS Rom,1978
Claudio Bordon,Inter Mailand,1978
Antonello Cuccureddu,Juventus Turin,1978
Gaetano Scirea †,Juventus Turin,1978
Giacinto Facchetti †,Inter Mailand,1978
Antonio Cabrini,Juventus Turin,1978
Aldo Maldera †,AC Mailand,1978
Claudio Gentile,Juventus Turin,1978
Mauro Bellugi,FC Bologna,1978
Romeo Benetti,Juventus Turin,1978
Eraldo Pecci,FC Turin,1978
Patrizio Sala,FC Turin,1978
Renato Zaccarelli,FC Turin,1978
Claudio Sala,FC Turin,1978
Lionello Manfredonia,Lazio Rom,1978
Marco Tardelli,Juventus Turin,1978
Giancarlo Antognoni,AC Florenz,1978
Franco Causio,Juventus Turin,1978
Roberto Bettega,Juventus Turin,1978
Francesco Graziani,FC Turin,1978
Paolo Pulici,FC Turin,1978
Paolo Rossi,Vicenza Calcio,1978
Sepp Maier,FC Bayern München,1978
Rudi Kargus,Hamburger SV,1978
Dieter Burdenski,SV Werder Bremen,1978
Bernard Dietz,MSV Duisburg,1978
Harald Konopka,1.FC Köln,1978
Bernd Cullmann,1.FC Köln,1978
Rolf Rüssmann †,FC Schalke 04,1978
Berti Vogts,Borussia Mönchengladbach,1978
Manfred Kaltz,Hamburger SV,1978
Gerd Zewe,Fortuna Düsseldorf,1978
Rainer Bonhof,Borussia Mönchengladbach,1978
Georg Schwarzenbeck,FC Bayern München,1978
Hansi Müller,VfB Stuttgart,1978
Heinz Flohe †,1.FC Köln,1978
Erich Beer,Hertha BSC,1978
Rüdiger Abramczik,FC Schalke 04,1978
Bernd Hölzenbein,Eintracht Frankfurt,1978
Herbert Zimmermann,1.FC Köln,1978
Klaus Fischer,FC Schalke 04,1978
Karl-Heinz Rummenigge,FC Bayern München,1978
Dieter Müller,1.FC Köln,1978
Ronnie Worm,MSV Duisburg,1978
Alan Rough,Partick Thistle FC ,1978
Jim Blyth,Coventry City,1978
Bobby Clark,Aberdeen FC,1978
Kenny Burns,Nottingham Forest,1978
Martin Buchan,Manchester United,1978
Gordon McQueen,Leeds United,1978
Thomas Forsyth,Glasgow Rangers,1978
Willie Donachie,Manchester City,1978
Sandy Jardine †,Glasgow Rangers,1978
Stuart Kennedy,Aberdeen FC,1978
Bruce Rioch,FC Everton,1978
Donald Sandison Masson,Queens Park Rangers,1978
Asa Hartford,Manchester City,1978
Lou Macari,Manchester United,1978
Graeme Souness,FC Middlesbrough,1978
Archie Gemmill,Derby County,1978
William McClure Johnston,West Bromwich Albion,1978
John Robertson,Nottingham Forest,1978
Kenny Dalglish,FC Liverpool,1978
Joe Jordan,Leeds United,1978
Derek Johnstone,Glasgow Rangers,1978
Joe Harper,Aberdeen FC,1978
Jürgen Croy,FSV Zwickau,1974
Wolfgang Blochwitz †,FC Carl Zeiss Jena,1974
Werner Friese,1.FC Lokomotive Leipzig,1974
Konrad Weise,FC Carl Zeiss Jena,1974
Lothar Kurbjuweit,FC Carl Zeiss Jena,1974
Bernd Bransch,FC Carl Zeiss Jena,1974
Siegmar Wätzlich,Dynamo Dresden,1974
Joachim Fritsche,1.FC Lokomotive Leipzig,1974
Gerd Kische,FC Hansa Rostock,1974
Wolfram Löwe,1.FC Lokomotive Leipzig U19,1974
Reinhard Lauck †,BFC Dynamo,1974
Harald Irmscher,FC Carl Zeiss Jena,1974
Erich Hamann, Unbekannt,1974
Wolfgang Seguin,1.FC Magdeburg,1974
Rüdiger Schnuphase,FC Rot-Weiß Erfurt,1974
Jürgen Sparwasser,1.FC Magdeburg,1974
Jürgen Pommerenke,1.FC Magdeburg,1974
Martin Hoffmann,1.FC Magdeburg,1974
Peter Ducke,FC Carl Zeiss Jena,1974
Hans-Jürgen Kreische,Dynamo Dresden,1974
Joachim Streich,FC Hansa Rostock,1974
Eberhard Vogel,FC Carl Zeiss Jena,1974
Sepp Maier,FC Bayern München,1974
Norbert Nigbur,FC Schalke 04,1974
Wolfgang Kleff,Borussia Mönchengladbach,1974
Franz Beckenbauer,FC Bayern München,1974
Horst-Dieter Höttges,SV Werder Bremen,1974
Bernd Cullmann,1.FC Köln,1974
Wolfgang Weber,1.FC Köln,1974
Helmut Kremers,FC Schalke 04,1974
Berti Vogts,Borussia Mönchengladbach,1974
Georg Schwarzenbeck,FC Bayern München,1974
Rainer Bonhof,Borussia Mönchengladbach,1974
Hans-Josef Kapellmann,FC Bayern München,1974
Paul Breitner,FC Bayern München,1974
Herbert Wimmer,Borussia Mönchengladbach,1974
Dietmar Danner,Borussia Mönchengladbach,1974
Sigfried Held,Kickers Offenbach,1974
Günter Netzer,Real Madrid,1974
Wolfgang Overath,1.FC Köln,1974
Heinz Flohe †,1.FC Köln,1974
Uli Hoeneß,FC Bayern München,1974
Erwin Kremers,FC Schalke 04,1974
Klaus Wunder,MSV Duisburg,1974
Dieter Herzog,Fortuna Düsseldorf,1974
Jürgen Grabowski,Eintracht Frankfurt,1974
Bernd Hölzenbein,Eintracht Frankfurt,1974
Horst Köppel,Borussia Mönchengladbach,1974
Jupp Heynckes,Borussia Mönchengladbach,1974
Gerd Müller,FC Bayern München,1974
Dino Zoff,Juventus Turin,1974
Enrico Albertosi,Cagliari Calcio,1974
Luciano Castellini,FC Turin,1974
Luciano Spinosi,Juventus Turin,1974
Francesco Morini,Juventus Turin,1974
Giuseppe Sabadini,AC Mailand,1974
Giuseppe Wilson,Lazio Rom,1974
Giacinto Facchetti †,Inter Mailand,1974
Tarcisio Burgnich,Inter Mailand,1974
Romeo Benetti,AC Mailand,1974
Fabio Capello,Juventus Turin,1974
Mauro Bellugi,Inter Mailand,1974
Antonio Juliano,SSC Neapel,1974
Luciano Re Cecconi †,Lazio Rom,1974
Luciano Chiarugi,AC Mailand,1974
Giorgio Chinaglia †,Lazio Rom,1974
Pietro Anastasi,Juventus Turin,1974
Luigi Riva,Cagliari Calcio,1974
Sandro Mazzola,Inter Mailand,1974
Franco Causio,Juventus Turin,1974
Gianni Rivera,AC Mailand,1974
Roberto Boninsegna,Inter Mailand,1974
Paolo Pulici,FC Turin,1974
Sepp Maier,FC Bayern München,1970
Manfred Manglitz,1.FC Köln,1970
Horst Wolter,Eintracht Braunschweig,1970
Ludwig Müller,Borussia Mönchengladbach,1970
Horst-Dieter Höttges,SV Werder Bremen,1970
Franz Beckenbauer,FC Bayern München,1970
Klaus-Dieter Sieloff †,Borussia Mönchengladbach,1970
Bernd Patzke,Hertha BSC,1970
Karl-Heinz Schnellinger,AC Mailand,1970
Wolfgang Weber,1.FC Köln,1970
Berti Vogts,Borussia Mönchengladbach,1970
Willi Schulz,Hamburger SV,1970
Klaus Fichtel,FC Schalke 04,1970
Peter Dietrich,Borussia Mönchengladbach,1970
Franz Roth,FC Bayern München,1970
Max Lorenz,Eintracht Braunschweig,1970
Günter Netzer,Borussia Mönchengladbach,1970
Sigfried Held,Borussia Dortmund,1970
Wolfgang Overath,1.FC Köln,1970
Erich Maas,FC Bayern München,1970
Hannes Löhr,1.FC Köln,1970
Stan Libuda †,FC Schalke 04,1970
Jürgen Grabowski,Eintracht Frankfurt,1970
Helmut Haller †,Juventus Turin,1970
Bernd Dörfel,Eintracht Braunschweig,1970
Uwe Seeler,Hamburger SV,1970
Gerd Müller,FC Bayern München,1970
Günter Bernard,SV Werder Bremen,1966
Sepp Maier,FC Bayern München,1966
Hans Tilkowski,Borussia Dortmund,1966
Jürgen Kurbjuhn †,Hamburger SV,1966
Horst-Dieter Höttges,SV Werder Bremen,1966
Klaus-Dieter Sieloff †,VfB Stuttgart,1966
Franz Beckenbauer,FC Bayern München,1966
Friedel Lutz,Eintracht Frankfurt,1966
Bernd Patzke,TSV 1860 München,1966
Wolfgang Paul,Borussia Dortmund,1966
Karl-Heinz Schnellinger,AC Mailand,1966
Wolfgang Weber,1.FC Köln,1966
Sepp Piontek,SV Werder Bremen,1966
Willi Schulz,Hamburger SV,1966
Peter Grosser,TSV 1860 München,1966
Max Lorenz,SV Werder Bremen,1966
Horst Szymaniak †,SV Tasmania Berlin,1966
Wolfgang Overath,1.FC Köln,1966
Sigfried Held,Borussia Dortmund,1966
Günter Netzer,Borussia Mönchengladbach,1966
Heinz Hornig,1.FC Köln,1966
Alfred Heiß,TSV 1860 München,1966
Jürgen Grabowski,Eintracht Frankfurt,1966
Werner Krämer †,MSV Duisburg,1966
Albert Brülls †,Brescia Calcio,1966
Helmut Haller †,FC Bologna,1966
Lothar Emmerich †,Borussia Dortmund,1966
Uwe Seeler,Hamburger SV,1966
Lothar Ulsaß †,Eintracht Braunschweig,1966
