Name,Club,CupYear
Yacine Bezzaz,Racing Straßburg,2010
Djamel Mesbah,US Lecce,2010
Karim Ziani,Olympique Marseille,2010
Mourad Meghni,Lazio Rom,2010
Ryad Boudebouz,FC Sochaux-Montbéliard,2010
Foued Kadir,SC Amiens,2010
Hocine Achiou,USM Algier,2010
Karim Matmour,Borussia Mönchengladbach,2010
Chadli Amri,1.FSV Mainz 05,2010
Djamel Abdoun,FC Nantes,2010
Abdelkader Ghezzal,AC Siena,2010
Kamel Ghilas,Celta Vigo,2010
Rafik Djebbour,AEK Athen,2010
Rafik Saïfi,FC Lorient,2010
Abdelmalek Ziaya,ES Sétif,2010
René Adler,Bayer 04 Leverkusen,2010
Manuel Neuer,FC Schalke 04,2010
Robert Enke †,Hannover 96,2010
Tim Wiese,SV Werder Bremen,2010
Hans Jörg Butt,FC Bayern München,2010
Tobias Sippel,1.FC Kaiserslautern,2010
Per Mertesacker,SV Werder Bremen,2010
Serdar Tasci,VfB Stuttgart,2010
Arne Friedrich,Hertha BSC,2010
Heiko Westermann,FC Schalke 04,2010
Mats Hummels,Borussia Dortmund,2010
Jérôme Boateng,Hamburger SV,2010
Holger Badstuber,FC Bayern München,2010
Marcell Jansen,Hamburger SV,2010
Marcel Schäfer,VfL Wolfsburg,2010
Dennis Aogo,Hamburger SV,2010
Philipp Lahm,FC Bayern München,2010
Andreas Beck,TSG 1899 Hoffenheim,2010
Christian Träsch,VfB Stuttgart,2010
Simon Rolfes,Bayer 04 Leverkusen,2010
Sami Khedira,VfB Stuttgart,2010
Stefan Reinartz,Bayer 04 Leverkusen,2010
Michael Ballack,FC Chelsea,2010
Bastian Schweinsteiger,FC Bayern München,2010
Piotr Trochowski,Hamburger SV,2010
Thomas Hitzlsperger,VfB Stuttgart,2010
Christian Gentner,VfL Wolfsburg,2010
Mesut Özil,SV Werder Bremen,2010
Toni Kroos,Bayer 04 Leverkusen,2010
Aaron Hunt,SV Werder Bremen,2010
Marko Marin,SV Werder Bremen,2010
Kevin Großkreutz,Borussia Dortmund,2010
Lukas Podolski,1.FC Köln,2010
Thomas Müller,FC Bayern München,2010
Cacau,VfB Stuttgart,2010
Mario Gómez,FC Bayern München,2010
Miroslav Klose,FC Bayern München,2010
Stefan Kießling,Bayer 04 Leverkusen,2010
Maarten Stekelenburg,Ajax Amsterdam,2010
Piet Velthuizen,Vitesse Arnheim,2010
Michel Vorm,FC Utrecht,2010
Sander Boschker,FC Twente Enschede,2010
Joris Mathijsen,Hamburger SV,2010
Johnny Heitinga,Atlético Madrid,2010
Khalid Boulahrouz,VfB Stuttgart,2010
Glenn Loovens,Celtic Glasgow,2010
André Ooijer,PSV Eindhoven,2010
Ron Vlaar,Feyenoord Rotterdam,2010
Giovanni van Bronckhorst,Feyenoord Rotterdam,2010
Edson Braafheid,FC Bayern München,2010
Dirk Marcellis,PSV Eindhoven,2010
Gregory van der Wiel,Ajax Amsterdam,2010
Nigel de Jong,Manchester City,2010
Mark van Bommel,FC Bayern München,2010
Stijn Schaars,AZ Alkmaar,2010
David Mendes da Silva,AZ Alkmaar,2010
Orlando Engelaar,PSV Eindhoven,2010
Wout Brama,FC Twente Enschede,2010
Vurnon Anita,Ajax Amsterdam,2010
Demy de Zeeuw,AZ Alkmaar,2010
Wesley Sneijder,Real Madrid,2010
Rafael van der Vaart,Real Madrid,2010
Otman Bakkal,PSV Eindhoven,2010
Ibrahim Afellay,PSV Eindhoven,2010
Arjen Robben,Real Madrid,2010
Ryan Babel,FC Liverpool,2010
Dirk Kuyt,FC Liverpool,2010
Eljero Elia,FC Twente Enschede,2010
Robin van Persie,FC Arsenal,2010
Klaas-Jan Huntelaar,Real Madrid,2010
Seigo Narazaki,Nagoya Grampus,2010
Eiji Kawashima,Kawasaki Frontale,2010
Yoshikatsu Kawaguchi,Jubilo Iwata,2010
